USERLABEL,IPADDRESS,VERSI,EMLNETYPE,REGION,CITY
A0263-RAN-S02,172.16.2.143,10.1,1830PSS-PHN,North1,台北市
A0263-RRB-L01,172.16.2.138,10.1,1830PSS-PHN,North1,台北市
A0263-RRB-M01,172.16.2.137,10.1,1830PSS-PHN,North1,台北市
A0637-RAN-R01,172.16.3.140,10.1,1830PSS-PHN,North1,台北市
A0725-RAN-R01,172.16.2.146,10.1,1830PSS-PHN,North1,台北市
A2011-RAN-S01,172.16.3.141,10.1,1830PSS-PHN,North1,台北市
A3918-RRB-Q01,172.16.2.139,10.1,1830PSS-PHN,North1,台北市
B0102-RNB-M01,172.16.4.169,10.1,1830PSS-PHN,Central,台中市
CCH-RRB-Q01,172.16.4.205,10.1,1830PSS-PHN,Central,彰化縣
CCX-RNB-K02,172.16.4.178,10.1,1830PSS-PHN,Central,彰化縣
CDL-RNB-K01,172.16.4.185,10.1,1830PSS-PHN,Central,雲林縣
CDL-RRB-Q02,172.16.4.203,10.1,1830PSS-PHN,Central,雲林縣
CMH-RNB-K01,172.16.4.145,10.1,1830PSS-PHN,Central,苗栗縣
CML-RNB-K01,172.16.4.137,10.1,1830PSS-PHN,Central,苗栗縣
CML-RRB-Q02,172.16.4.206,10.1,1830PSS-PHN,Central,苗栗縣
CTC-RNB-L01,172.16.4.154,10.1,1830PSS-PHN,Central,台中市
CTC-RNB-M01,172.16.4.153,10.1,1830PSS-PHN,Central,台中市
CTF-RNB-M01,172.16.4.130,10.1,1830PSS-PHN,Central,苗栗縣
CTF-RRB-Q02,172.16.4.200,10.1,1830PSS-PHN,Central,苗栗縣
CTP-RNB-L01,172.16.4.162,10.1,1830PSS-PHN,Central,台中市
CTP-RNB-L02,172.16.4.164,10.1,1830PSS-PHN,Central,台中市
CTP-RNB-M01,172.16.4.161,10.1,1830PSS-PHN,Central,台中市
CTP-RNB-M02,172.16.4.163,10.1,1830PSS-PHN,Central,台中市
CTP-RRB-Q03,172.16.4.202,10.1,1830PSS-PHN,Central,台中市
CYX-RNB-K01,172.16.4.193,10.1,1830PSS-PHN,Central,雲林縣
CYX-RRB-Q02,172.16.4.204,10.1,1830PSS-PHN,Central,雲林縣
E1746-RAN-R01,172.16.6.215,10.1,1830PSS-PHN,South,高雄市
GYL-RNB-L01,172.16.2.136,10.1,1830PSS-PHN,North1,宜蘭縣
GYL-RNB-M01,172.16.2.135,10.1,1830PSS-PHN,North1,宜蘭縣
H0208-RNB-L01,172.16.1.173,10.1,1830PSS-PHN,North2,桃園市
H0208-RNB-M01,172.16.1.154,10.1,1830PSS-PHN,North2,桃園市
MMT-RNB-K01,172.16.4.201,10.1,1830PSS-PHN,Central,南投縣
NJB-RNB-K01,172.16.1.161,10.1,1830PSS-PHN,North2,新竹縣
NJG-RNB-M01,172.16.1.170,10.1,1830PSS-PHN,North2,新竹市
NJG-RRB-L02,172.16.1.172,10.1,1830PSS-PHN,North2,新竹市
NJG-RRB-M02,172.16.1.171,10.1,1830PSS-PHN,North2,新竹市
NNH-RAN-R03,172.16.2.142,10.1,1830PSS-PHN,North1,台北市
NNH-RAN-R04,172.16.2.144,10.1,1830PSS-PHN,North1,台北市
NNH-RNB-L01,172.16.2.130,10.1,1830PSS-PHN,North1,台北市
NNH-RNB-L02,172.16.2.134,10.1,1830PSS-PHN,North1,台北市
NNH-RNB-M01,172.16.2.129,10.1,1830PSS-PHN,North1,台北市
NNH-RNB-M02,172.16.2.133,10.1,1830PSS-PHN,North1,台北市
NNL-RNB-L01,172.16.1.146,10.1,1830PSS-PHN,North2,桃園市
NNL-RNB-M01,172.16.1.145,10.1,1830PSS-PHN,North2,桃園市
NPC-RNB-L01,172.16.1.130,10.1,1830PSS-PHN,North2,新北市
NPC-RNB-L02,172.16.1.132,10.1,1830PSS-PHN,North2,新北市
NPC-RNB-M01,172.16.1.129,10.1,1830PSS-PHN,North2,新北市
NPC-RNB-M02,172.16.1.131,10.1,1830PSS-PHN,North2,新北市
NPK-RNB-L02,172.16.1.136,10.1,1830PSS-PHN,North2,新北市
NPK-RNB-M02,172.16.1.135,10.1,1830PSS-PHN,North2,新北市
NPK-RRB-L03,172.16.1.140,10.1,1830PSS-PHN,North2,新北市
NPK-RRB-M03,172.16.1.139,10.1,1830PSS-PHN,North2,新北市
NSY-RNB-L01,172.16.3.130,10.1,1830PSS-PHN,North1,台北市
NSY-RNB-M01,172.16.3.129,10.1,1830PSS-PHN,North1,台北市
NTS-RRB-L01,172.16.2.141,10.1,1830PSS-PHN,North1,新北市
NTS-RRB-M01,172.16.2.140,10.1,1830PSS-PHN,North1,新北市
NWK-RNB-L01,172.16.1.138,10.1,1830PSS-PHN,North2,新北市
NWK-RNB-M01,172.16.1.137,10.1,1830PSS-PHN,North2,新北市
SCJ-RAN-R03,172.16.6.214,10.1,1830PSS-PHN,South,高雄市
SCJ-RNB-L01,172.16.6.170,10.1,1830PSS-PHN,South,高雄市
SCJ-RNB-M01,172.16.6.169,10.1,1830PSS-PHN,South,高雄市
SCJ-RRB-Q02,172.16.6.213,10.1,1830PSS-PHN,South,高雄市
SCY-RNB-K01,172.16.6.129,10.1,1830PSS-PHN,South,嘉義市
SCY-RRB-Q02,172.16.6.210,10.1,1830PSS-PHN,South,嘉義市
SFS-RNB-L01,172.16.6.178,10.1,1830PSS-PHN,South,屏東縣
SFS-RNB-L02,172.16.6.180,10.1,1830PSS-PHN,South,屏東縣
SFS-RNB-M01,172.16.6.177,10.1,1830PSS-PHN,South,屏東縣
SFS-RNB-M02,172.16.6.179,10.1,1830PSS-PHN,South,屏東縣
SHP-RNB-K01,172.16.6.137,10.1,1830PSS-PHN,South,台南市
SJR-RNB-L01,172.16.6.182,10.1,1830PSS-PHN,South,高雄市
SJR-RNB-M01,172.16.6.181,10.1,1830PSS-PHN,South,高雄市
STN-RNB-L01,172.16.6.163,10.1,1830PSS-PHN,South,台南市
STN-RNB-M01,172.16.6.162,10.1,1830PSS-PHN,South,台南市
STN-RRB-Q02,172.16.6.212,10.1,1830PSS-PHN,South,台南市
STT-RNB-L01,172.16.6.202,10.1,1830PSS-PHN,South,台東縣
STT-RNB-M01,172.16.6.201,10.1,1830PSS-PHN,South,台東縣
STX-RNB-K01,172.16.6.153,10.1,1830PSS-PHN,South,台南市
SYK-RNB-L01,172.16.6.146,10.1,1830PSS-PHN,South,台南市
SYK-RNB-M01,172.16.6.145,10.1,1830PSS-PHN,South,台南市
SYK-RRB-Q02,172.16.6.211,10.1,1830PSS-PHN,South,台南市
UHL-RNB-L01,172.16.3.138,10.1,1830PSS-PHN,North1,花蓮縣
UHL-RNB-M01,172.16.3.137,10.1,1830PSS-PHN,North1,花蓮縣
UHR-RNB-K01,172.16.3.139,10.1,1830PSS-PHN,North1,花蓮縣
UTP-RNB-M01,172.16.3.145,10.1,1830PSS-PHN,North1,花蓮縣
UUL-RNB-L01,172.16.3.170,10.1,1830PSS-PHN,North1,花蓮縣
UUL-RNB-M01,172.16.3.169,10.1,1830PSS-PHN,North1,花蓮縣
V0077-RNB-K01,172.16.6.209,10.1,1830PSS-PHN,South,台東縣
VDW-RNB-K01,172.16.6.193,10.1,1830PSS-PHN,South,台東縣
